Dr. Andreas Gomoll,Future and current patients beware. Dr. Gomoll performed a partial knee replacement on me. Had to have a full knee replacement after 17 month. The surgeon who performed my total knee stated the device was malaligned and he could see mechancial catching of my patella on the device Dr. Gomoll installed. Been in recovery for over three years.
Dr. Andreas Gomoll,"I have been a patient of Dr. Gomoll for over 10 years and the only negative thing I have to say is that he is leaving MA to move to NY. He is a Doctor unlike any other I have had the chance to meet. Over the years I have spent countless hours talking about my knee with Dr. G and I don't have a bad thing to say. He is patient and kind, not to mention talented. He both takes the time to listen and explain things. I am sad to see him leave and NY is very lucky to have him."
Dr. Andreas Gomoll,14 months ago my daughter had surgery for a frayed miniscus. During the initial surgery her first surgeon found significantly more damage and had the foresight to stop and refer us to Dr. G. He met with us and suggested a course to allow my daughter to continue her athletics. He was positive and thorough. A year later she worked hard and has recovered well resuming all her activities. I highly recommend Dr. Gomoll
Dr. Andreas Gomoll,"Dr. Gomoll is a true professional in every sense of the word. I call him my ""miracle doctor"" as he was able to find a spot for me in a trial study for my knee. Just amazing and I'm thankful to be under his care."
Dr. Andreas Gomoll,"I can't say enough about this doctor. My daughter is 15 years old. She has had a rare condition called Osteochondritis Dissecans since she was approximately 8 years old. Over the years, she has gotten 3 lesions that needed treatment as she doesn't respond to conservative treatment. She had her most major surgery last July with Dr Gomoll. He did an osteochondral allograft, MPFL repair, and TTO. I cannot say enough about his care and technique. This has worked! My daughter has no pain now"
Dr. Andreas Gomoll,"Rare combination of kind and competent. Listens well and takes the whole person into consideration when deciding on best course of action. Big believer in doing no harm and will exhaust other treatment options before surgery, this is a good thing! If surgery is necessary he is well versed in best practices, especially for biologic joint reconstruction. Cartilage procedures are his forte and he's keeping me active at 40 when other doctors would have just given up on my knee."
Dr. Andreas Gomoll,"Cannot say enough great things about Dr. Gomoll and his practice. Never had issues with appointments, visits, surgeries, follow-ups, etc. As a doctor I felt he was very personable and actually seemed genuinely concerned about me as a patient."
Dr. Andreas Gomoll,"My experience with Dr Gomoll has been extremely positive. He takes the time to clearly explain his diagnosis and discusses options objectively. I never felt rushed or ""just another patient"". After years of knee pain and countless time spent doing PT and receiving cortisone shots; I am pain free. My daily activity has increased and I am looking forward to exercising again"
Dr. David Levine,This physician refuses to speak to physicians when they want to refer patients. His staff gives you the run around and lies and says that they will have the doctor call their primary care doctor when he has no interest in doing so. He obviously only cares about the money and not patients.
Dr. Andreas Gomoll,Dr Gomoll put my knee back together almost 8 years ago. Without that procedure I certainly be contemplating a knee replacement. He seems to handle the worst of the worst. His OA Courtney is always very helpful. A very skilled surgeon.
Dr. Andreas Gomoll,"Dr. Gomoll took a conservative approach to treating a torn meniscus. Ultimately, I needed to have a surgical procedure to address a meniscal tear; I am very please with the results. There was a lot of helpful communication and explanation from Dr. Gomoll and his staff before, during and after the procedure. Every question I had was thoughtfully and thoroughly answered."
Dr. Andreas Gomoll,"very professional staff all around, really care about the patient's well-being, overall great experience"
Dr. Andreas Gomoll,"Dr Gomoll performed ACI surgery on me in December 2014. The surgery went well and I have since returned to all of my activities. He followed up and was always friendly and professional. While I hope to not need another knee surgery, I would go back to Dr Gomoll, particularly if I need ACI on the other knee at some point"
