"Her hours are not convenient at all, but her treatment was good!",0
"I was not at all happy with Dr Starkman ... To start the staff is rude and appear bothered when you arrive... After sitting in the waiting area for approximately two (2) HOURS; Dr. Starkman arrives disheveled with a look of confusion... When i start my consultation i did not feel as if his attention was solely on me.. He looked at his cell phone a couple of times, he accepted a call and i had to reminded him what we were discussing... I truly would not recommend this doctor",0
Dr Kister and his office failed me miserably. He misdiagnosed me with multiple sclerosis in 2011. He refused to do a spinal tap but had no problem treating me with toxic medication. I then begged for a spinal tap. I contacted his office even the office social worker and got no response at all. I then received a package from the office with all my records. I do not have multiple sclerosis. I have chronic Lyme's disease. I found out because I doctor did a spinal tap on me and tested me,0
I felt rushed. She is not a good listener. I think she can be a bit warmer and more accommodating with her patients,0
"My first appointment was scheduled when the dr was at a conference and not in the office to see me. I was not told until I was at the appt. After 4 appts, I was unhappy with the side effects of the medication prescribed and asked to be taken off the medication. The dr. filled a reduced rx and never called me or found time to see me to discuss a revised treatment plan or explain how I might feel being off the medication. horrible bedside manner. Will be finding a new neuro",0
Caring gentle professional and an expert. Always calls back. Thanks,0
"I made an appointment, and was running late from work. I tried to call to ask if I can come in late or reschedule, but my phone call didn’t go through due to poor service on the train. They denied me an appointment ever again. What kind of doctor denies a patient in need of care",0
Scheduling an appointment was horrible and confusing and the office wait for the appointment was terrible. It took 2 hours of waiting for a schedule appointment. Its a shame because he seems like a good doctor,0
"Dr. Barone was very flippant, arrogant, unprofessional and unhelpful. Didn’t return phone calls or emails. I wouldn’t recommend going to him",0
I'm very disappointed with the way I was treated at Dr. Briskin's office. It was hard to get in touch with a doctor over the phone when I need it and more care about receiving the copay then treating a patient. She wasn't ready with all the paperwork at the time of my appointment which started 30 min later then it was scheduled. At the time of my appointment I was informed about broken office equipment and proposed to come on different day. Would not recommend this doctor to my family or friend,0
"Dr. Weinberg is a bad doctor! I have had 2 cancers, 8 surgeries, and am quite astute when it comes to the medical arena. This MD was excessively sarcastic and condescending. He called for a C-spine MRi and told me to call for the results. When I reached him, he offered nothing but ""you have a bad back ... lots of problems."" When I tried to get him to engage in some detail as to what was found on the MRI, he would not. A waste of time. I advise going elsewhere. I learned nothing, gained nothing",0
"I find it hard to believe that any of the positive reviews are true. This doctor is rude, and his level of knowledge is less than any other medical professional I have had. I would never recommend him and if you are using him I highly recommend trying someone else. He runs his office like a failing business desperate to grab every dollar he can. He does not have a bedside manner unless you liked to be talked down to about your own body and health. He is a terrible doctor",0
"Not only he rushes you but doesn't listen to all your symptoms. Clearly just wants the money,thats it.The front desk girl so rude, my god, wouldn't answer, put me twice on hold and when she picked up the 3rd time she hung up. Pointless worker clearly. NEVER AGAIN",0
I would not recommend this doctor to ANYONE. She is cold and does not have the people skills required to form a relationship between a patient and a doctor. She does not follow up on what she says she will do either. She also does not properly explain things to a patient in a way that they can understand and are satisfied,0
"The worst. Rude. Obnoxious. Workmanlike. I feel sorry for anyone in Leifer's care. He simply does not give a blank about his patients. Either Leifer is plodding away while keeping patients waiting, eating while keeping patients waiting, on the phone while keeping patients waiting or seeing patients with an attitude like it's the last thing he wants to be doing. An educated jerk",0
"Perhaps one of the worst physicians I have ever dealt with. He is almost ambivalent when it comes trying to address my husband's medical condition, he has no suggestions or a treatment plan to try to make forward progress. To make matters even worse you have to wait over an hour for every appointment and trying to get him to refill your prescriptions is near impossible without 3 to 4 phone calls/messages",0
