Great experience was very happy with my results it has been 7 weeks and I am already lifted weight lightly. Was very important to me to go back to my activity.Dr.Silver did what he said put me back together.Was in horrible pain for years if I knew it would be like this I would have had it done years ago.Staff was great . So satisfied I am waiting to do my left .Words can not explain how great he was .Thank you Dr. Silver.,1
Dr Silver operated on my shoulder and my knee. He is patient and caring and takes the time to explain things in plain English. He answered my questions and made me feel comfortable about both procedures. I had rotator cuff surgery on my shoulder and meniscus repair on my knee. My treatment was excellent and I highly recommend him,1
"Dr. Silver did an amazing job arthroscopically shaving off a large sharp hook shaped bone spur and repairing a fully torn rotator cuff, 2 torn muscles and a floating tendon .5 months ago. I had very little pain following surgery and had full range of motion within three months of surgery. I can even zip up a dress by myself! I'm currently working to rebuild strength and endurance, hoping to resume my full exercise routine including push-ups in a few more months.",1
"Dr. Silver is an excellent surgeon who I would highly recommend to those needing knee or shoulder surgery. Unfortunately, his receptionist, Esmyrna is extremely rude. She doesn't return calls and her follow-up is awful. I had to call her numerous times to get her to simply fax a form to my insurance company. She is abrasive and curt and clearly doesn't belong in a healthcare setting. Its unfortunate that such a nice doctor could have such an unpleasant person representing him and his practice",1
"Dr. El-Gazzar is an amazing physician/surgeon. I met him over 4 years ago when I had a broken leg and ankle. 2 years later he performed a partial meniscus replacement on my knee. He is kind, caring, confident and knowledgeable. He has done a knee meniscus replacement on my son and seen my daughter for knee issues. The process for all procedures and after care went smoothly because he took the time to explain everything before and after. I would highly recommend Dr. El-Gazzar.",1
Dr El Gazzar is a very meticulous and caring doctor.... He is very in tune to making his patients understand what your treatment can and will incur.... His staff is very patient friendly.... Don't be intimated to ask questions.,1
was very pleased with the entire experience and would highly recommend Dr. Elgazzar,1
"Dr. Elgazzar is one of the best in the world! He Was in-depth knowledge about my torn PCL. Within ONE day, I had approval from insurance, MRI script faxed to radiologist, and an appointment the NEXT day! I highly recommend Dr. elgazzr you want the best!",1
"Dr El-Gazzar is awesome, he is thoughtful and very caring. He is on point and give options talks to us like we are people. His staff is friendly, very helpful",1
"Dr. El-Gazzar is the finest surgeon I've ever had the pleasure of meeting. He took care of my son as a charity patient when he shattered his elbow. We were so lucky to have had him as Jesse's surgeon. He has a reputation for arrogance, but he has earned that right, because he's just that good. I unconditionally recommend him to your attention. I don't even care about the extended wait times to see him at the hospital... we were, after all, a charity case",1
